Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
627,6.27,2.09803e-05,4.34708,0,1.79149e-05,0.0376722,0.000269095,-7.44E-07,0,0.000269096,6.27,0,0,6.27,1.73814,-0.1276,-4.32E-17,-1.36E-11,-3.06E-13,-1.48E-14,0,3.06664e-13,0,0,0,0,288.604,12.826,-0.0354481,0,12.8261,1,0
628,6.28,2.09803e-05,4.34709,0,1.79149e-05,0.0377294,0.000269508,-7.39E-07,0,0.000269509,6.28,0,0,6.28,1.73814,-0.127495,-4.32E-17,-1.36E-11,-3.04E-13,-1.56E-14,0,3.03919e-13,0,0,0,0,288.604,12.8457,-0.035208,0,12.8458,1,0
629,6.29,2.09804e-05,4.3471,0,1.79149e-05,0.0377866,0.000269922,-7.34E-07,0,0.000269923,6.29,0,0,6.29,1.73814,-0.12739,-4.32E-17,-1.35E-11,-3.01E-13,-1.64E-14,0,3.01176e-13,0,0,0,0,288.604,12.8654,-0.034968,0,12.8655,1,0
630,6.3,2.09804e-05,4.34711,0,1.79149e-05,0.0378438,0.000270335,-7.29E-07,0,0.000270336,6.3,0,0,6.3,1.73814,-0.127285,-4.33E-17,-1.35E-11,-2.98E-13,-1.71E-14,0,2.98436e-13,0,0,0,0,288.604,12.8851,-0.0347279,0,12.8851,1,0
631,6.31,2.09804e-05,4.34711,0,1.79149e-05,0.037901,0.000270749,-7.24E-07,0,0.00027075,6.31,0,0,6.31,1.73814,-0.127181,-4.33E-17,-1.34E-11,-2.95E-13,-1.79E-14,0,2.95699e-13,0,0,0,0,288.604,12.9048,-0.0344879,0,12.9048,1,0
632,6.32,2.09804e-05,4.34712,0,1.79149e-05,0.0379582,0.000271163,-7.19E-07,0,0.000271164,6.32,0,0,6.32,1.73815,-0.127076,-4.33E-17,-1.34E-11,-2.92E-13,-1.87E-14,0,2.92965e-13,0,0,0,0,288.604,12.9245,-0.0342478,0,12.9245,1,0
633,6.33,2.09805e-05,4.34714,0,1.79148e-05,0.0380841,0.000272059,-7.29E-07,0,0.00027206,6.33,0,0,6.33,1.73815,-0.12679,-4.35E-17,-1.33E-11,-2.89E-13,-1.93E-14,0,2.89873e-13,0,0,0,0,288.603,12.9672,-0.0347142,0,12.9672,1,0
634,6.34,2.09806e-05,4.34717,0,1.79148e-05,0.0382143,0.000272985,-7.39E-07,0,0.000272986,6.34,0,0,6.34,1.73815,-0.126492,-4.37E-17,-1.33E-11,-2.86E-13,-1.99E-14,0,2.8676e-13,0,0,0,0,288.603,13.0113,-0.0352251,0,13.0113,1,0
635,6.35,2.09807e-05,4.34719,0,1.79148e-05,0.0383445,0.000273911,-7.50E-07,0,0.000273912,6.35,0,0,6.35,1.73816,-0.126195,-4.39E-17,-1.33E-11,-2.83E-13,-2.04E-14,0,2.83649e-13,0,0,0,0,288.603,13.0554,-0.035736,0,13.0554,1,0
636,6.36,2.09807e-05,4.34721,0,1.79148e-05,0.0384747,0.000274838,-7.61E-07,0,0.000274839,6.36,0,0,6.36,1.73816,-0.125898,-4.41E-17,-1.33E-11,-2.80E-13,-2.10E-14,0,2.8054e-13,0,0,0,0,288.602,13.0995,-0.0362469,0,13.0995,1,0
637,6.37,2.09808e-05,4.34723,0,1.79148e-05,0.0386049,0.000275764,-7.71E-07,0,0.000275765,6.37,0,0,6.37,1.73816,-0.1256,-4.43E-17,-1.32E-11,-2.77E-13,-2.15E-14,0,2.77434e-13,0,0,0,0,288.602,13.1436,-0.0367578,0,13.1436,1,0
638,6.38,2.09809e-05,4.34725,0,1.79147e-05,0.0387351,0.00027669,-7.82E-07,0,0.000276691,6.38,0,0,6.38,1.73817,-0.125303,-4.45E-17,-1.32E-11,-2.73E-13,-2.21E-14,0,2.7433e-13,0,0,0,0,288.601,13.1877,-0.0372687,0,13.1877,1,0
639,6.39,2.09809e-05,4.34727,0,1.79147e-05,0.0388653,0.000277617,-7.93E-07,0,0.000277618,6.39,0,0,6.39,1.73817,-0.125005,-4.47E-17,-1.32E-11,-2.70E-13,-2.27E-14,0,2.71228e-13,0,0,0,0,288.601,13.2318,-0.0377796,0,13.2318,1,0
640,6.4,2.0981e-05,4.34729,0,1.79147e-05,0.0389955,0.000278543,-8.04E-07,0,0.000278544,6.4,0,0,6.4,1.73817,-0.124708,-4.49E-17,-1.32E-11,-2.67E-13,-2.32E-14,0,2.68129e-13,0,0,0,0,288.601,13.2759,-0.0382905,0,13.276,1,0
641,6.41,2.09811e-05,4.34731,0,1.79147e-05,0.0391258,0.000279469,-8.14E-07,0,0.00027947,6.41,0,0,6.41,1.73818,-0.12441,-4.51E-17,-1.31E-11,-2.64E-13,-2.38E-14,0,2.65033e-13,0,0,0,0,288.6,13.32,-0.0388014,0,13.3201,1,0
642,6.42,2.09812e-05,4.34734,0,1.79147e-05,0.039256,0.000280395,-8.25E-07,0,0.000280397,6.42,0,0,6.42,1.73818,-0.124113,-4.53E-17,-1.31E-11,-2.61E-13,-2.43E-14,0,2.61939e-13,0,0,0,0,288.6,13.3641,-0.0393123,0,13.3642,1,0
643,6.43,2.09812e-05,4.34736,0,1.79147e-05,0.0393862,0.000281322,-8.36E-07,0,0.000281323,6.43,0,0,6.43,1.73819,-0.123816,-4.55E-17,-1.31E-11,-2.58E-13,-2.49E-14,0,2.58848e-13,0,0,0,0,288.599,13.4082,-0.0398232,0,13.4083,1,0
