"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
3792, 5.098619243829666e-02, 2.199695447532265e-01, 2.109273434252067e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.370655888061577e+00
3804, 1.038859305501411e-02, 1.013936397874714e-01, 2.114677219758139e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.382549322025181e+00
3810, 7.367991863599360e-02, 2.612492836847347e-01, 2.106531737786858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.364621810524767e+00
3812, 5.811716571993708e-02, 2.339648708003372e-01, 2.108390691963343e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.368713052552501e+00
3819, 1.997899020031620e-01, 3.998423402551672e-01, 2.094732648958958e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.338662982162012e+00
3833, 1.772129092174085e-02, 1.319365255333334e-01, 2.113653739841701e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.380296625456146e+00
3839, 1.197970213918577e-01, 3.247240290731446e-01, 2.101556473489771e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.353673418548083e+00
3852, 4.451328367631567e-01, 4.969804768784600e-01, 2.085670257869205e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318796051066473e+00
3882, 1.409368694231759e-01, 3.479564171852138e-01, 2.099535806075695e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.349227588733227e+00
3883, 3.986067038777185e-01, -4.896114781144938e-01, 2.086272962002361e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.320099836257428e+00
3912, 2.387507202007468e-01, 4.263200837450324e-01, 2.092186603989807e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.333066218503569e+00
3924, 1.634937534688516e-01, 3.698155567921907e-01, 2.097554142642497e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.344868263890220e+00
3938, 5.548671485144481e-01, 4.969804785038275e-01, 2.085625089198275e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318752432580431e+00
3971, 4.140354465618975e-01, 4.925546625017243e-01, 2.086026007613608e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.319564462542488e+00
3974, 8.477310406542677e-01, -3.592813985798597e-01, 2.089500587581756e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327295737272932e+00
3993, 4.921463278942318e-01, 4.999383160295428e-01, 2.085446847843027e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.318327934586915e+00
4012, 9.557016543193892e-01, 2.057571438627874e-01, 2.091102527756747e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330707145184256e+00
4022, 6.470201614786231e-01, 4.778965077491145e-01, 2.086554034331320e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.320836678807633e+00
4025, 5.859644955927193e-01, 4.925546725973567e-01, 2.085868520861916e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.319303275982182e+00
4041, 8.698155614651023e-01, 3.365062413956850e-01, 2.089822675084566e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327986509090715e+00
4044, 9.490137963926956e-01, 2.199695675520111e-01, 2.090994364978115e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330478346856390e+00
